                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211029"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                        lg_mtransfer_rate                                    J_orb 
                                      20                  2.1687827405763434E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0453015727363044E+000                  4.1721848008850905E+001                  4.7078094358788372E+000                  5.7546438672894809E+000                  9.6596612882747017E+000                  4.2808789133765952E+000                  5.6694024421911060E-001                  4.5726791172021979E+002                  7.6518050660753847E+000                  4.4615563698761307E-001                  1.6444196488774370E+001                  7.5140371584655408E-001                  2.4824728246046868E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  6.4443333333333330E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3852267741652050E-001                  1.2749818827845866E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      21                  2.2770219234172779E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0343845048662426E+000                  4.1442434817699677E+001                  4.7080578608543906E+000                  5.7549098233921265E+000                  9.6515713691115597E+000                  4.2816066571761668E+000                  5.6630788328769843E-001                  4.5686834150987204E+002                  7.6522301359014842E+000                  4.4744461839407812E-001                  1.6445907817549635E+001                  7.5140354361891293E-001                  2.4824737907666969E-001                  7.5141400000000058E-001                  2.4824600000000024E-001                  6.5005000000000002E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3746946098831067E-001                  1.2655391405107616E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      22                  2.3833023110926396E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0264531299023656E+000                  4.1033597955431880E+001                  4.7083031806734699E+000                  5.7551714989302223E+000                  9.6435786004764559E+000                  4.2823262609143855E+000                  5.6568201679552277E-001                  4.5647365054609838E+002                  7.6526503388967617E+000                  4.4871890679365128E-001                  1.6447599534908896E+001                  7.5140338272690776E-001                  2.4824747708976372E-001                  7.5141400000000036E-001                  2.4824600000000024E-001                  6.5579999999999994E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3643125726792935E-001                  1.2562097945984496E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      23                  2.4881892607622476E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0207214554094155E+000                  4.0705565492103538E+001                  4.7085462782176100E+000                  5.7554299259861583E+000                  9.6356550246535875E+000                  4.2830402240350107E+000                  5.6506021708365106E-001                  4.5608201660806958E+002                  7.6530670806662799E+000                  4.4998284637791119E-001                  1.6449277353690260E+001                  7.5140323206609339E-001                  2.4824757586871452E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  6.6154999999999997E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3540327889182741E-001                  1.2469612121498960E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      24                  2.5920610837965938E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0164977539064637E+000                  4.0516795673468444E+001                  4.7087879564192772E+000                  5.7556861190834328E+000                  9.6277761272054825E+000                  4.2837507437444069E+000                  5.6444065731363391E-001                  4.5569212858102600E+002                  7.6534815973051167E+000                  4.5124005945581352E-001                  1.6450946171432768E+001                  7.5140308814496570E-001                  2.4824767663712388E-001                  7.5141400000000058E-001                  2.4824600000000024E-001                  6.6731666666666667E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3438274436482897E-001                  1.2377647793420997E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      25                  2.6951939244309023E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0133969798830653E+000                  4.0351809689751299E+001                  4.7090285629309339E+000                  5.7559404828126102E+000                  9.6199308886355954E+000                  4.2844588060618545E+000                  5.6382257505720879E-001                  4.5530334854673265E+002                  7.6538944410324428E+000                  4.5249225526980413E-001                  1.6452608234540111E+001                  7.5140295067984775E-001                  2.4824777862806691E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  6.7305000000000004E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3336734707039669E-001                  1.2286076339617559E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      26                  2.7977764733468274E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0110734859791801E+000                  4.0177114119544235E+001                  4.7092684366712447E+000                  5.7561934484945718E+000                  9.6121090079162688E+000                  4.2851653353411372E+000                  5.6320417256578181E-001                  4.5491424804124779E+002                  7.6543061170536424E+000                  4.5374090238902870E-001                  1.6454265537310683E+001                  7.5140281732571568E-001                  2.4824788274962911E-001                  7.5141399999999992E-001                  2.4824600000000024E-001                  6.7871666666666663E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3235631679311072E-001                  1.2194777524092047E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      27                  2.8999734090822830E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0094378741437666E+000                  3.9946600932961324E+001                  4.7095078315858236E+000                  5.7564453277263397E+000                  9.6043026520194239E+000                  4.2858710357676815E+000                  5.6258961125628359E-001                  4.5452821640888004E+002                  7.6547170123527870E+000                  4.5498716296577107E-001                  1.6455919631364015E+001                  7.5140268790078657E-001                  2.4824798839366494E-001                  7.5141400000000003E-001                  2.4824600000000024E-001                  6.8430000000000002E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3134847188810864E-001                  1.2103659917914371E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      28                  3.0019033074163031E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0083015910422157E+000                  3.9686623154143177E+001                  4.7097468052219149E+000                  5.7566961450592302E+000                  9.5965095214789020E+000                  4.2865761129791586E+000                  5.6197188651741747E-001                  4.5413957219661592E+002                  7.6551273288520703E+000                  4.5623167193677211E-001                  1.6457571344293513E+001                  7.5140256018317542E-001                  2.4824809675456741E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  6.8998333333333339E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3034297680277254E-001                  1.2012696681179333E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      29                  3.1036543123036051E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0075387069867416E+000                  3.9465368746584531E+001                  4.7099855689393211E+000                  5.7569462270797986E+000                  9.5887238665474737E+000                  4.2872810858282140E+000                  5.6135633065508728E-001                  4.5375267272909548E+002                  7.6555372491050617E+000                  4.5747495801644228E-001                  1.6459221396180148E+001                  7.5140243467180179E-001                  2.4824820683559176E-001                  7.5141400000000058E-001                  2.4824600000000024E-001                  6.9555000000000000E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.2933954662322042E-001                  1.1921820701496660E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      30                  3.2053055294132247E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0071125829821941E+000                  3.9352299264670265E+001                  4.7102241850260569E+000                  5.7571955863127791E+000                  9.5809430691794066E+000                  4.2879861909421759E+000                  5.6073748072780993E-001                  4.5336309646840078E+002                  7.6559470192888108E+000                  4.5871769262787038E-001                  1.6460870730829416E+001                  7.5140230970726229E-001                  2.4824831959547566E-001                  7.5141400000000036E-001                  2.4824600000000024E-001                  7.0145000000000002E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.2833765923038301E-001                  1.1831001420426142E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
