                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                           12115          7.0000000000000000E+001          6.5000000000000000E+001          1.1000000000000001E+000                       "gfortran"                          "9.2.0"          "x86_64-linux-20190830"                       "20211029" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10 
                     period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                lg_mtransfer_rate                            J_orb 
         1.0794468064354015E+000          2.2708642528076950E+001          5.2568790453524912E+002          5.3907475816273052E+002          8.6542492209186577E+000          8.5553818809991515E+000          2.0255210128473648E-002          2.0632010770057819E-002         -6.0661881175285775E+000          1.1292789678002140E+055 
         1.0789924652240730E+000          2.2701226593872292E+001          5.2598811492621246E+002          5.3887503242521143E+002          8.6495695559826782E+000          8.5544348135801993E+000          2.4726111132937923E-002          2.5207444608584813E-002         -6.1778518665492550E+000          1.1288741669544752E+055 
         1.0785482484112952E+000          2.2693842355372944E+001          5.2625389083090272E+002          5.3870131634001007E+002          8.6451274394753952E+000          8.5532752291264948E+000          2.9474669110318385E-002          2.9923783870020339E-002         -6.2732710982268598E+000          1.1284436121719709E+055 
         1.0781141181812819E+000          2.2686535674466981E+001          5.2650165220154042E+002          5.3853936733462638E+002          8.6408265996331277E+000          8.5520337033197915E+000          3.4264901480517931E-002          3.4742093625421473E-002         -6.3156045874632127E+000          1.1279997176018784E+055 
         1.0776924343870575E+000          2.2679313368098850E+001          5.2673589174468327E+002          5.3838267057206849E+002          8.6366288689743893E+000          8.5507534039275566E+000          3.9038297566586902E-002          3.9610838054204463E-002         -6.3569972726214381E+000          1.1275370952987230E+055 
         1.0772782951698565E+000          2.2672078736845673E+001          5.2694312763430355E+002          5.3824499915548313E+002          8.6325978736419806E+000          8.5492977068113571E+000          4.3792584493050714E-002          4.4391960448673766E-002         -6.4397826429378879E+000          1.1270465259278582E+055 
         1.0768627336880372E+000          2.2664712776047001E+001          5.2713454673170315E+002          5.3811843241937140E+002          8.6286174347772491E+000          8.5476923446081958E+000          4.8570572121596857E-002          4.9246248028195445E-002         -6.4811753280961133E+000          1.1265270953449063E+055 
         1.0764490048619106E+000          2.2657245562596458E+001          5.2731079807926380E+002          5.3800050904555860E+002          8.6246874724443554E+000          8.5459601314904550E+000          5.3301400966089700E-002          5.4047976291892168E-002         -6.5225680132543387E+000          1.1259761935688803E+055 
         1.0760417165245169E+000          2.2649744461891387E+001          5.2747621015679385E+002          5.3788549924905794E+002          8.6207964796659020E+000          8.5441635007319672E+000          5.7896455611396717E-002          5.8643075103034105E-002         -6.5639606984125631E+000          1.1253963634821000E+055 
         1.0756278784200994E+000          2.2641959971133421E+001          5.2764357948528550E+002          5.3776172316488612E+002          8.6167591898887821E+000          8.5422983750125248E+000          6.2597041648316712E-002          6.3267509017376128E-002         -6.5841640845008502E+000          1.1247669129632020E+055 
         1.0752055875658912E+000          2.2633830147472644E+001          5.2781770606321072E+002          5.3762334359917452E+002          8.6125129591459437E+000          8.5403803605829243E+000          6.7190982810066149E-002          6.7709940671488902E-002         -6.5841640845008502E+000          1.1240786517667315E+055 
         1.0747962756202807E+000          2.2625632837530635E+001          5.2799949035171517E+002          5.3746129005583668E+002          8.6081271858657153E+000          8.5385505497414034E+000          7.1739870563296781E-002          7.2294355372318028E-002         -6.5692677660605563E+000          1.1233335480147214E+055 
         1.0743738490911561E+000          2.2616938211356921E+001          5.2819786157738542E+002          5.3727224237124824E+002          8.6033932133036846E+000          8.5366917764605414E+000          7.6372186183654323E-002          7.6933328541572421E-002         -6.5533098669858134E+000          1.1225069302773259E+055 
         1.0738649650879530E+000          2.2607433264515940E+001          5.2839153844397356E+002          5.3713548693064615E+002          8.5985604219790979E+000          8.5343183710028807E+000          8.1214944193234703E-002          8.1770189310684652E-002         -8.8636977430680588E+000          1.1217492341143299E+055 
         1.0733010401259144E+000          2.2597032016471324E+001          5.2859819856496756E+002          5.3699818101778078E+002          8.5933378815034960E+000          8.5316554571883554E+000          8.5993641955925390E-002          8.6588560015443725E-002         -8.9297343399578608E+000          1.1209419660451141E+055 
         1.0726367606172313E+000          2.2585610884724254E+001          5.2879968045964256E+002          5.3691770469653898E+002          8.5879552939638195E+000          8.5283802969940297E+000          9.0511930440782554E-002          9.1230823288668730E-002         -8.9297343399578608E+000          1.1201952839138347E+055 
         1.0719615175835278E+000          2.2573493000025568E+001          5.2901367341165701E+002          5.3680287071875875E+002          8.5821376705091481E+000          8.5250118631171024E+000          9.4667717692064127E-002          9.5552389095394444E-002         -8.0492780446794541E+000          1.1193111104870102E+055 
         1.0713390124901268E+000          2.2559634162224878E+001          5.2917180161945532E+002          5.3660930794664773E+002          8.5755794115726083E+000          8.5210646457733166E+000          9.7984699260533215E-002          9.8788101941658338E-002         -7.7088339298393365E+000          1.1178309137551091E+055 
         1.0710363300833203E+000          2.2546547170630049E+001          5.2915065026591355E+002          5.3631321521321775E+002          8.5696044215911513E+000          8.5171197801381862E+000          1.0065564439598219E-001          1.0126811835828578E-001         -7.7922605217972052E+000          1.1155415226070091E+055 
